amount,date,category,description/merchant
38.74,2023-05-28,Personal Care,Spa Center
149.24,2023-05-30,Shopping,Home Decor
150.21,2023-05-30,Travel,Train Ticket
71.88,2023-05-31,Groceries,Supermarket A
92.54,2023-05-31,Groceries,Local Supermarket
51.67,2023-06-01,Transportation,Ride Sharing App
68.25,2023-06-01,Entertainment,Concert Venue
33.8,2023-06-01,Entertainment,Streaming Service Subscription
15.78,2023-06-02,Personal Care,Haircut
215.59,2023-06-02,Education,Online Course
34.98,2023-06-03,Dining Out,Pizzeria Bella
105.1,2023-06-03,Health,Doctor Visit
30.82,2023-06-03,Dining Out,Fast Food Z
97.27,2023-06-03,Groceries,Supermarket A
96.24,2023-06-04,Health,Gym Membership
38.81,2023-06-05,Dining Out,Pizzeria Bella
74.96,2023-06-05,Entertainment,Concert Venue
43.05,2023-06-07,Shopping,Home Decor
29.1,2023-06-08,Dining Out,Sushi Bar
85.79,2023-06-10,Shopping,Bookshop
67.82,2023-06-10,Entertainment,Cinema Tickets
50.96,2023-06-10,Utilities,Electricity Bill
30.23,2023-06-10,Groceries,Supermarket A
131.62,2023-06-10,Education,Online Course
36.44,2023-06-11,Entertainment,Concert Venue
21.83,2023-06-12,Transportation,Ride Sharing App
140.38,2023-06-12,Utilities,Water Bill
37.92,2023-06-13,Utilities,Water Bill
82.75,2023-06-14,Groceries,Local Supermarket
97.48,2023-06-14,Health,Gym Membership
143.67,2023-06-14,Utilities,Electricity Bill
203.43,2023-06-15,Education,Online Course
63.8,2023-06-15,Personal Care,Haircut
22.92,2023-06-15,Transportation,Petrol Station
69.12,2023-06-15,Entertainment,Streaming Service Subscription
137.51,2023-06-15,Education,Online Course
147.63,2023-06-15,Health,Therapy Session
26.72,2023-06-16,Entertainment,Concert Venue
55.01,2023-06-16,Utilities,Internet Provider
241.62,2023-06-17,Education,Workshop Fee
17.14,2023-06-18,Transportation,Petrol Station
23.53,2023-06-18,Dining Out,Fast Food Z
43.98,2023-06-18,Personal Care,Haircut
111.92,2023-06-18,Shopping,Clothing Store Sale
66.59,2023-06-18,Entertainment,Cinema Tickets
63.22,2023-06-19,Groceries,Supermarket A
485.76,2023-06-19,Travel,Hotel Stay
49.83,2023-06-20,Transportation,Ride Sharing App
59.95,2023-06-20,Health,Doctor Visit
31.35,2023-06-21,Shopping,Online Electronics
64.88,2023-06-22,Groceries,Grocery Store B
137.17,2023-06-24,Utilities,Water Bill
27.76,2023-06-24,Transportation,Ride Sharing App
47.68,2023-06-24,Groceries,Local Supermarket
289.45,2023-06-24,Travel,Hotel Stay
76.29,2023-06-25,Shopping,Clothing Store Sale
10.65,2023-06-25,Personal Care,Pharmacy
289.97,2023-06-25,Travel,Flight Booking
119.91,2023-06-26,Utilities,Water Bill
75.89,2023-06-27,Personal Care,Spa Center
231.61,2023-06-28,Education,Online Course
170.71,2023-06-29,Shopping,Bookshop
31.57,2023-06-30,Personal Care,Haircut
50.44,2023-06-30,Transportation,Petrol Station
38.99,2023-06-30,Dining Out,Coffee Shop Downtown
70.51,2023-06-30,Health,Doctor Visit
30.38,2023-06-30,Dining Out,Lunch Cafe
46.66,2023-07-01,Health,Doctor Visit
80.9,2023-07-01,Entertainment,Streaming Service Subscription
19.29,2023-07-01,Entertainment,Concert Venue
396.78,2023-07-01,Travel,Train Ticket
114.84,2023-07-01,Utilities,Water Bill
216.54,2023-07-02,Education,Bookstore
387.43,2023-07-02,Travel,Hotel Stay
118.74,2023-07-02,Shopping,Online Electronics
139.18,2023-07-02,Utilities,Electricity Bill
84.51,2023-07-02,Groceries,Local Supermarket
21.45,2023-07-03,Transportation,Petrol Station
126.67,2023-07-03,Education,Workshop Fee
165.86,2023-07-04,Education,Bookstore
37.87,2023-07-04,Dining Out,Sushi Bar
23.4,2023-07-05,Transportation,Bus Pass Kiosk
7.95,2023-07-05,Dining Out,Sushi Bar
26.72,2023-07-06,Entertainment,Concert Venue
25.55,2023-07-07,Dining Out,Coffee Shop Downtown
78.25,2023-07-07,Groceries,Grocery Store B
57.5,2023-07-08,Groceries,Grocery Store B
5.12,2023-07-08,Dining Out,Pizzeria Bella
74.61,2023-07-08,Utilities,Electricity Bill
92.92,2023-07-08,Education,Workshop Fee
62.44,2023-07-08,Utilities,Electricity Bill
106.33,2023-07-09,Utilities,Electricity Bill
102.77,2023-07-09,Health,Therapy Session
98.32,2023-07-10,Education,Bookstore
72.34,2023-07-10,Shopping,Bookshop
83.97,2023-07-11,Groceries,Supermarket A
75.64,2023-07-11,Personal Care,Haircut
345.19,2023-07-11,Travel,Hotel Stay
338.42,2023-07-13,Travel,Hotel Stay
416.46,2023-07-13,Travel,Flight Booking
123.04,2023-07-15,Utilities,Electricity Bill
99.2,2023-07-16,Shopping,Bookshop
148.75,2023-07-16,Utilities,Water Bill
19.69,2023-07-16,Transportation,Petrol Station
200.94,2023-07-17,Education,Online Course
25.72,2023-07-17,Transportation,Petrol Station
25.88,2023-07-18,Transportation,Petrol Station
96.68,2023-07-19,Health,Gym Membership
32.82,2023-07-19,Health,Doctor Visit
14.93,2023-07-20,Transportation,Bus Pass Kiosk
58.12,2023-07-22,Entertainment,Cinema Tickets
25.13,2023-07-22,Groceries,Local Supermarket
72.3,2023-07-22,Entertainment,Concert Venue
35.71,2023-07-22,Dining Out,Fast Food Z
21.16,2023-07-23,Personal Care,Haircut
54.95,2023-07-23,Personal Care,Pharmacy
199.31,2023-07-25,Education,Workshop Fee
102.29,2023-07-25,Groceries,Grocery Store B
35.39,2023-07-26,Dining Out,Sushi Bar
36.92,2023-07-26,Groceries,Supermarket A
86.08,2023-07-27,Health,Therapy Session
36.72,2023-07-27,Personal Care,Spa Center
113.41,2023-07-27,Groceries,Local Supermarket
92.76,2023-07-29,Utilities,Water Bill
42.58,2023-07-30,Transportation,Bus Pass Kiosk
52.43,2023-07-30,Shopping,Home Decor
270.76,2023-07-30,Travel,Train Ticket
30.32,2023-07-30,Groceries,Grocery Store B
166.29,2023-07-30,Shopping,Online Electronics
95.25,2023-07-31,Education,Online Course
410.41,2023-07-31,Travel,Train Ticket
53.05,2023-07-31,Utilities,Internet Provider
56.18,2023-08-01,Shopping,Online Electronics
15.05,2023-08-01,Shopping,Online Electronics
202.46,2023-08-01,Travel,Hotel Stay
21.18,2023-08-01,Dining Out,Lunch Cafe
33.67,2023-08-01,Dining Out,Pizzeria Bella
68.57,2023-08-02,Personal Care,Spa Center
87.75,2023-08-02,Groceries,Grocery Store B
51.87,2023-08-02,Utilities,Internet Provider
11.11,2023-08-04,Dining Out,Lunch Cafe
117.19,2023-08-04,Education,Bookstore
321.88,2023-08-04,Travel,Flight Booking
49.46,2023-08-05,Personal Care,Haircut
46.81,2023-08-05,Shopping,Home Decor
31.56,2023-08-05,Entertainment,Cinema Tickets
423.02,2023-08-05,Travel,Train Ticket
14.19,2023-08-05,Dining Out,Sushi Bar
49.7,2023-08-06,Groceries,Grocery Store B
33.43,2023-08-06,Transportation,Bus Pass Kiosk
17.65,2023-08-06,Dining Out,Coffee Shop Downtown
71.18,2023-08-07,Entertainment,Cinema Tickets
109.7,2023-08-07,Health,Gym Membership
53.44,2023-08-07,Entertainment,Cinema Tickets
128.66,2023-08-08,Education,Bookstore
9.5,2023-08-09,Personal Care,Spa Center
128.01,2023-08-09,Utilities,Internet Provider
57.48,2023-08-09,Personal Care,Haircut
89.79,2023-08-10,Shopping,Clothing Store Sale
63.29,2023-08-10,Entertainment,Cinema Tickets
63.74,2023-08-11,Health,Gym Membership
228.3,2023-08-11,Education,Workshop Fee
20.16,2023-08-11,Dining Out,Coffee Shop Downtown
450.91,2023-08-12,Travel,Train Ticket
138.67,2023-08-12,Health,Gym Membership
121.22,2023-08-12,Shopping,Home Decor
31.26,2023-08-13,Utilities,Water Bill
61.34,2023-08-14,Groceries,Supermarket A
114.8,2023-08-14,Utilities,Internet Provider
38.92,2023-08-15,Transportation,Ride Sharing App
46.35,2023-08-15,Transportation,Bus Pass Kiosk
34.78,2023-08-15,Personal Care,Pharmacy
205.97,2023-08-15,Education,Online Course
88.05,2023-08-15,Health,Therapy Session
16.5,2023-08-16,Entertainment,Streaming Service Subscription
35.59,2023-08-16,Dining Out,Sushi Bar
59.62,2023-08-19,Health,Gym Membership
45.13,2023-08-19,Groceries,Grocery Store B
46.07,2023-08-20,Transportation,Ride Sharing App
140.39,2023-08-20,Utilities,Water Bill
37.07,2023-08-20,Dining Out,Sushi Bar
108.28,2023-08-20,Health,Doctor Visit
123.82,2023-08-20,Shopping,Online Electronics
37.79,2023-08-21,Utilities,Internet Provider
84.16,2023-08-21,Shopping,Bookshop
17.36,2023-08-22,Personal Care,Spa Center
158.34,2023-08-24,Education,Workshop Fee
38.44,2023-08-24,Dining Out,Lunch Cafe
92.99,2023-08-25,Entertainment,Cinema Tickets
20.29,2023-08-26,Entertainment,Streaming Service Subscription
40.53,2023-08-26,Entertainment,Cinema Tickets
32.02,2023-08-27,Transportation,Bus Pass Kiosk
75.74,2023-08-27,Health,Doctor Visit
79.65,2023-08-27,Utilities,Water Bill
12.71,2023-08-27,Dining Out,Fast Food Z
26.56,2023-08-27,Health,Doctor Visit
94.81,2023-08-28,Entertainment,Streaming Service Subscription
45.1,2023-08-28,Transportation,Bus Pass Kiosk
32.84,2023-08-29,Transportation,Bus Pass Kiosk
38.92,2023-08-29,Dining Out,Sushi Bar
27.76,2023-08-30,Dining Out,Lunch Cafe
80.03,2023-08-30,Health,Therapy Session
95.17,2023-08-30,Groceries,Grocery Store B
24.12,2023-08-30,Entertainment,Cinema Tickets
165.56,2023-08-30,Shopping,Bookshop
16.46,2023-08-30,Dining Out,Fast Food Z
109.36,2023-09-01,Health,Gym Membership
79.97,2023-09-01,Health,Gym Membership
154.13,2023-09-01,Education,Workshop Fee
101.87,2023-09-02,Shopping,Clothing Store Sale
37.83,2023-09-02,Entertainment,Cinema Tickets
39.42,2023-09-03,Transportation,Petrol Station
100.68,2023-09-03,Utilities,Water Bill
73.1,2023-09-03,Entertainment,Concert Venue
21.43,2023-09-04,Entertainment,Concert Venue
24.34,2023-09-04,Entertainment,Concert Venue
39.93,2023-09-05,Dining Out,Fast Food Z
184.79,2023-09-06,Shopping,Home Decor
80.32,2023-09-07,Shopping,Bookshop
59.73,2023-09-07,Health,Therapy Session
119.97,2023-09-07,Health,Doctor Visit
384.31,2023-09-08,Travel,Hotel Stay
144.99,2023-09-09,Utilities,Electricity Bill
101.21,2023-09-09,Health,Doctor Visit
186.4,2023-09-09,Education,Bookstore
29.62,2023-09-10,Entertainment,Cinema Tickets
16.89,2023-09-10,Dining Out,Fast Food Z
86.78,2023-09-10,Utilities,Internet Provider
103.52,2023-09-10,Utilities,Internet Provider
56.28,2023-09-10,Utilities,Water Bill
51.25,2023-09-11,Entertainment,Cinema Tickets
19.7,2023-09-11,Entertainment,Streaming Service Subscription
296.29,2023-09-13,Travel,Hotel Stay
37.03,2023-09-14,Dining Out,Fast Food Z
59.68,2023-09-14,Utilities,Water Bill
35.52,2023-09-15,Transportation,Petrol Station
149.78,2023-09-15,Education,Workshop Fee
87.15,2023-09-16,Entertainment,Streaming Service Subscription
29.4,2023-09-16,Shopping,Online Electronics
44.62,2023-09-16,Utilities,Water Bill
9.62,2023-09-16,Dining Out,Coffee Shop Downtown
245.54,2023-09-16,Travel,Train Ticket
71.75,2023-09-17,Entertainment,Streaming Service Subscription
116.01,2023-09-17,Health,Therapy Session
89.81,2023-09-17,Health,Gym Membership
62.69,2023-09-17,Entertainment,Streaming Service Subscription
59.28,2023-09-17,Transportation,Ride Sharing App
384.76,2023-09-18,Travel,Hotel Stay
21.5,2023-09-18,Personal Care,Spa Center
73.73,2023-09-20,Entertainment,Concert Venue
33.85,2023-09-20,Personal Care,Pharmacy
95.27,2023-09-21,Entertainment,Concert Venue
167.08,2023-09-21,Education,Online Course
247.64,2023-09-23,Education,Bookstore
136.3,2023-09-23,Travel,Hotel Stay
36.02,2023-09-23,Groceries,Supermarket A
382.98,2023-09-24,Travel,Flight Booking
50.39,2023-09-24,Transportation,Bus Pass Kiosk
184.89,2023-09-24,Shopping,Clothing Store Sale
96.21,2023-09-25,Entertainment,Streaming Service Subscription
34.03,2023-09-25,Dining Out,Pizzeria Bella
13.52,2023-09-25,Dining Out,Sushi Bar
14.67,2023-09-26,Personal Care,Haircut
35.12,2023-09-26,Dining Out,Coffee Shop Downtown
89.69,2023-09-26,Entertainment,Cinema Tickets
64.81,2023-09-27,Groceries,Grocery Store B
80.45,2023-09-27,Health,Gym Membership
111.1,2023-09-28,Shopping,Clothing Store Sale
104.95,2023-09-28,Education,Workshop Fee
8.16,2023-09-29,Personal Care,Haircut
5.07,2023-09-30,Dining Out,Sushi Bar
15.06,2023-10-01,Entertainment,Streaming Service Subscription
277.41,2023-10-01,Travel,Flight Booking
85.05,2023-10-01,Health,Gym Membership
21.81,2023-10-01,Health,Doctor Visit
88.28,2023-10-02,Education,Bookstore
116.03,2023-10-02,Health,Therapy Session
84.97,2023-10-02,Travel,Flight Booking
16.94,2023-10-03,Transportation,Ride Sharing App
65.43,2023-10-04,Personal Care,Haircut
87.0,2023-10-05,Health,Doctor Visit
171.33,2023-10-05,Shopping,Clothing Store Sale
49.31,2023-10-07,Transportation,Petrol Station
95.94,2023-10-07,Utilities,Water Bill
25.61,2023-10-07,Shopping,Bookshop
109.12,2023-10-07,Groceries,Supermarket A
118.89,2023-10-07,Education,Online Course
171.57,2023-10-08,Shopping,Bookshop
94.97,2023-10-08,Groceries,Grocery Store B
20.29,2023-10-08,Entertainment,Concert Venue
54.73,2023-10-08,Entertainment,Streaming Service Subscription
74.66,2023-10-09,Personal Care,Spa Center
69.78,2023-10-10,Health,Therapy Session
32.74,2023-10-10,Transportation,Ride Sharing App
34.99,2023-10-10,Groceries,Local Supermarket
37.44,2023-10-12,Personal Care,Pharmacy
39.08,2023-10-13,Education,Bookstore
6.88,2023-10-13,Personal Care,Pharmacy
239.17,2023-10-14,Education,Workshop Fee
77.6,2023-10-14,Personal Care,Haircut
111.75,2023-10-14,Shopping,Online Electronics
32.19,2023-10-15,Entertainment,Cinema Tickets
59.44,2023-10-15,Education,Bookstore
28.83,2023-10-15,Transportation,Bus Pass Kiosk
23.05,2023-10-18,Dining Out,Pizzeria Bella
122.99,2023-10-18,Shopping,Bookshop
66.95,2023-10-18,Entertainment,Streaming Service Subscription
78.36,2023-10-19,Utilities,Internet Provider
123.33,2023-10-19,Utilities,Internet Provider
194.15,2023-10-21,Education,Bookstore
64.5,2023-10-21,Entertainment,Cinema Tickets
43.39,2023-10-21,Utilities,Electricity Bill
63.5,2023-10-21,Shopping,Clothing Store Sale
134.25,2023-10-21,Health,Doctor Visit
72.8,2023-10-22,Health,Doctor Visit
73.84,2023-10-22,Personal Care,Spa Center
71.61,2023-10-22,Groceries,Supermarket A
32.47,2023-10-23,Dining Out,Coffee Shop Downtown
56.77,2023-10-23,Personal Care,Pharmacy
34.86,2023-10-23,Transportation,Petrol Station
39.58,2023-10-24,Transportation,Bus Pass Kiosk
73.7,2023-10-25,Shopping,Clothing Store Sale
47.56,2023-10-25,Transportation,Bus Pass Kiosk
30.73,2023-10-26,Entertainment,Concert Venue
5.95,2023-10-27,Dining Out,Lunch Cafe
24.35,2023-10-27,Transportation,Petrol Station
78.87,2023-10-27,Personal Care,Spa Center
42.91,2023-10-28,Transportation,Petrol Station
96.92,2023-10-28,Shopping,Bookshop
21.16,2023-10-28,Transportation,Bus Pass Kiosk
84.71,2023-10-28,Shopping,Bookshop
173.9,2023-10-29,Education,Workshop Fee
59.5,2023-10-29,Groceries,Grocery Store B
89.33,2023-10-30,Health,Therapy Session
305.94,2023-10-30,Travel,Flight Booking
33.46,2023-10-31,Entertainment,Cinema Tickets
67.78,2023-10-31,Utilities,Electricity Bill
66.74,2023-10-31,Shopping,Online Electronics
86.72,2023-11-01,Groceries,Grocery Store B
60.21,2023-11-01,Education,Online Course
5.43,2023-11-01,Dining Out,Sushi Bar
33.72,2023-11-01,Shopping,Clothing Store Sale
94.02,2023-11-01,Travel,Hotel Stay
130.62,2023-11-02,Utilities,Internet Provider
25.96,2023-11-02,Transportation,Petrol Station
230.96,2023-11-03,Travel,Hotel Stay
101.61,2023-11-03,Utilities,Water Bill
103.09,2023-11-04,Travel,Hotel Stay
126.49,2023-11-05,Utilities,Internet Provider
81.2,2023-11-05,Education,Workshop Fee
21.43,2023-11-05,Dining Out,Coffee Shop Downtown
101.55,2023-11-05,Groceries,Supermarket A
450.56,2023-11-07,Travel,Train Ticket
55.86,2023-11-08,Entertainment,Concert Venue
424.52,2023-11-08,Travel,Train Ticket
170.73,2023-11-09,Education,Workshop Fee
28.8,2023-11-09,Health,Gym Membership
17.99,2023-11-09,Entertainment,Concert Venue
8.39,2023-11-10,Dining Out,Lunch Cafe
112.32,2023-11-11,Health,Doctor Visit
127.97,2023-11-11,Utilities,Internet Provider
41.0,2023-11-11,Transportation,Petrol Station
83.64,2023-11-11,Health,Therapy Session
22.59,2023-11-11,Transportation,Petrol Station
68.03,2023-11-12,Entertainment,Cinema Tickets
28.51,2023-11-12,Dining Out,Coffee Shop Downtown
64.57,2023-11-13,Education,Workshop Fee
15.67,2023-11-14,Personal Care,Haircut
149.24,2023-11-14,Shopping,Clothing Store Sale
22.66,2023-11-14,Health,Doctor Visit
493.86,2023-11-15,Travel,Train Ticket
494.85,2023-11-15,Travel,Train Ticket
86.74,2023-11-15,Entertainment,Cinema Tickets
21.02,2023-11-16,Groceries,Supermarket A
29.9,2023-11-17,Groceries,Local Supermarket
12.83,2023-11-17,Dining Out,Pizzeria Bella
9.03,2023-11-17,Dining Out,Lunch Cafe
278.65,2023-11-18,Travel,Flight Booking
40.71,2023-11-18,Transportation,Bus Pass Kiosk
160.06,2023-11-18,Shopping,Clothing Store Sale
92.97,2023-11-18,Entertainment,Streaming Service Subscription
102.92,2023-11-18,Groceries,Supermarket A
162.45,2023-11-19,Travel,Train Ticket
264.68,2023-11-19,Travel,Hotel Stay
40.61,2023-11-19,Groceries,Grocery Store B
61.79,2023-11-19,Entertainment,Concert Venue
153.32,2023-11-19,Education,Bookstore
70.58,2023-11-20,Health,Doctor Visit
76.63,2023-11-20,Personal Care,Haircut
494.35,2023-11-21,Travel,Train Ticket
174.75,2023-11-22,Education,Online Course
9.63,2023-11-22,Dining Out,Lunch Cafe
173.91,2023-11-22,Education,Online Course
16.96,2023-11-24,Transportation,Ride Sharing App
111.82,2023-11-24,Utilities,Water Bill
79.77,2023-11-24,Shopping,Bookshop
245.31,2023-11-25,Education,Online Course
128.23,2023-11-25,Travel,Hotel Stay
23.55,2023-11-25,Dining Out,Pizzeria Bella
43.25,2023-11-25,Entertainment,Streaming Service Subscription
327.94,2023-11-25,Travel,Hotel Stay
25.75,2023-11-26,Dining Out,Pizzeria Bella
76.75,2023-11-27,Utilities,Electricity Bill
32.63,2023-11-27,Utilities,Electricity Bill
16.7,2023-11-27,Shopping,Clothing Store Sale
16.88,2023-11-28,Transportation,Ride Sharing App
282.54,2023-11-28,Travel,Hotel Stay
65.93,2023-11-28,Entertainment,Streaming Service Subscription
109.61,2023-11-29,Groceries,Local Supermarket
79.59,2023-11-29,Personal Care,Spa Center
107.44,2023-11-30,Health,Doctor Visit
53.13,2023-11-30,Utilities,Internet Provider
13.76,2023-11-30,Entertainment,Concert Venue
5.76,2023-11-30,Personal Care,Haircut
27.41,2023-11-30,Groceries,Supermarket A
56.73,2023-11-30,Entertainment,Cinema Tickets
11.55,2023-12-01,Dining Out,Pizzeria Bella
64.95,2023-12-01,Utilities,Water Bill
19.7,2023-12-02,Shopping,Home Decor
22.06,2023-12-03,Shopping,Home Decor
79.68,2023-12-04,Groceries,Grocery Store B
137.96,2023-12-06,Education,Bookstore
133.38,2023-12-06,Shopping,Home Decor
266.25,2023-12-08,Travel,Flight Booking
116.97,2023-12-08,Health,Gym Membership
89.47,2023-12-08,Education,Bookstore
36.33,2023-12-09,Utilities,Water Bill
315.15,2023-12-10,Travel,Train Ticket
27.8,2023-12-10,Personal Care,Pharmacy
109.47,2023-12-10,Utilities,Electricity Bill
27.01,2023-12-10,Dining Out,Lunch Cafe
79.25,2023-12-10,Travel,Flight Booking
61.22,2023-12-11,Shopping,Home Decor
17.13,2023-12-12,Dining Out,Coffee Shop Downtown
186.01,2023-12-13,Travel,Hotel Stay
127.53,2023-12-14,Utilities,Internet Provider
53.67,2023-12-15,Personal Care,Pharmacy
61.09,2023-12-15,Personal Care,Spa Center
162.99,2023-12-16,Education,Bookstore
81.55,2023-12-17,Shopping,Home Decor
72.97,2023-12-17,Shopping,Clothing Store Sale
62.73,2023-12-18,Education,Online Course
73.75,2023-12-18,Shopping,Online Electronics
28.48,2023-12-19,Personal Care,Haircut
47.69,2023-12-20,Groceries,Grocery Store B
42.38,2023-12-20,Personal Care,Haircut
54.04,2023-12-21,Groceries,Local Supermarket
153.71,2023-12-22,Shopping,Home Decor
141.14,2023-12-23,Utilities,Electricity Bill
27.37,2023-12-23,Personal Care,Pharmacy
61.92,2023-12-23,Utilities,Electricity Bill
74.22,2023-12-24,Utilities,Internet Provider
78.09,2023-12-24,Groceries,Grocery Store B
8.07,2023-12-24,Dining Out,Pizzeria Bella
70.56,2023-12-24,Personal Care,Haircut
29.85,2023-12-24,Entertainment,Cinema Tickets
60.52,2023-12-25,Personal Care,Pharmacy
309.35,2023-12-27,Travel,Hotel Stay
23.79,2023-12-28,Groceries,Supermarket A
52.4,2023-12-28,Transportation,Petrol Station
31.81,2023-12-29,Utilities,Electricity Bill
69.38,2023-12-30,Personal Care,Pharmacy
73.03,2023-12-30,Education,Bookstore
28.02,2023-12-30,Dining Out,Pizzeria Bella
51.13,2023-12-31,Health,Doctor Visit
61.7,2024-01-01,Health,Gym Membership
142.31,2024-01-01,Travel,Hotel Stay
30.77,2024-01-01,Dining Out,Sushi Bar
21.2,2024-01-01,Transportation,Bus Pass Kiosk
36.25,2024-01-01,Personal Care,Spa Center
64.29,2024-01-02,Entertainment,Streaming Service Subscription
106.82,2024-01-05,Shopping,Home Decor
149.14,2024-01-06,Health,Doctor Visit
50.57,2024-01-06,Entertainment,Concert Venue
53.45,2024-01-07,Groceries,Supermarket A
73.53,2024-01-07,Groceries,Grocery Store B
24.39,2024-01-07,Transportation,Bus Pass Kiosk
240.66,2024-01-07,Travel,Hotel Stay
168.31,2024-01-08,Travel,Hotel Stay
38.88,2024-01-09,Transportation,Petrol Station
41.64,2024-01-09,Health,Gym Membership
128.0,2024-01-09,Travel,Flight Booking
52.49,2024-01-11,Transportation,Ride Sharing App
20.68,2024-01-12,Dining Out,Fast Food Z
36.91,2024-01-12,Dining Out,Pizzeria Bella
46.91,2024-01-12,Education,Workshop Fee
113.6,2024-01-13,Shopping,Bookshop
5.28,2024-01-13,Personal Care,Pharmacy
103.28,2024-01-13,Utilities,Electricity Bill
227.29,2024-01-14,Education,Bookstore
109.82,2024-01-14,Health,Therapy Session
38.98,2024-01-15,Transportation,Bus Pass Kiosk
18.37,2024-01-15,Personal Care,Pharmacy
94.18,2024-01-17,Education,Bookstore
88.43,2024-01-18,Health,Doctor Visit
86.74,2024-01-18,Entertainment,Streaming Service Subscription
162.48,2024-01-19,Shopping,Online Electronics
104.56,2024-01-20,Education,Workshop Fee
37.77,2024-01-20,Dining Out,Coffee Shop Downtown
69.41,2024-01-20,Utilities,Water Bill
26.33,2024-01-20,Health,Therapy Session
87.59,2024-01-20,Utilities,Water Bill
36.0,2024-01-21,Entertainment,Cinema Tickets
261.78,2024-01-22,Travel,Hotel Stay
17.69,2024-01-22,Dining Out,Lunch Cafe
14.46,2024-01-22,Transportation,Bus Pass Kiosk
53.56,2024-01-23,Personal Care,Pharmacy
115.84,2024-01-23,Utilities,Internet Provider
39.51,2024-01-23,Personal Care,Pharmacy
22.23,2024-01-24,Dining Out,Lunch Cafe
99.0,2024-01-25,Health,Therapy Session
140.28,2024-01-25,Travel,Flight Booking
74.13,2024-01-25,Entertainment,Concert Venue
119.26,2024-01-26,Shopping,Bookshop
38.55,2024-01-27,Personal Care,Haircut
45.92,2024-01-27,Entertainment,Streaming Service Subscription
39.1,2024-01-27,Health,Therapy Session
62.68,2024-01-27,Personal Care,Haircut
203.19,2024-01-27,Education,Online Course
283.26,2024-01-28,Travel,Hotel Stay
142.4,2024-01-28,Shopping,Bookshop
24.9,2024-01-28,Dining Out,Fast Food Z
121.89,2024-01-29,Shopping,Home Decor
99.7,2024-01-29,Health,Doctor Visit
137.67,2024-01-29,Utilities,Internet Provider
85.96,2024-01-30,Shopping,Home Decor
23.66,2024-01-30,Dining Out,Sushi Bar
413.1,2024-01-30,Travel,Train Ticket
73.23,2024-01-30,Health,Doctor Visit
36.21,2024-01-31,Dining Out,Lunch Cafe
113.23,2024-01-31,Travel,Hotel Stay
17.55,2024-01-31,Personal Care,Pharmacy
10.44,2024-02-01,Dining Out,Sushi Bar
30.54,2024-02-01,Personal Care,Haircut
82.97,2024-02-01,Shopping,Home Decor
25.11,2024-02-02,Groceries,Grocery Store B
48.64,2024-02-02,Entertainment,Cinema Tickets
5.83,2024-02-03,Dining Out,Lunch Cafe
42.69,2024-02-03,Transportation,Ride Sharing App
189.77,2024-02-03,Shopping,Online Electronics
64.99,2024-02-03,Groceries,Local Supermarket
21.98,2024-02-03,Shopping,Online Electronics
51.42,2024-02-04,Transportation,Ride Sharing App
20.26,2024-02-04,Dining Out,Lunch Cafe
498.48,2024-02-04,Travel,Flight Booking
71.24,2024-02-05,Personal Care,Haircut
